fileName,score,molFrom,algorithm,runTime,workers,disp,mini_iter,iter,b,m,batch,type,T
62534.mol,132.50541067661553,leastNAD+.mol,minimize,4.807439565658569,,,,,,,molSizeTiming,,
65499.mol,-248.4894414755127,lessNAD+.mol,minimize,15.94457221031189,,,,,,,molSizeTiming,,
69350.mol,51.72373327634545,leastNAD+.mol,minimize,6.807920932769775,,,,,,,molSizeTiming,,
76188.mol,54.891961237498506,leastNAD+.mol,minimize,6.822346925735474,,,,,,,molSizeTiming,,
77434.mol,-244.66641171622373,lessNAD+.mol,minimize,11.926272869110107,,,,,,,molSizeTiming,,
82247.mol,54.0957272377408,leastNAD+.mol,minimize,6.046685218811035,,,,,,,molSizeTiming,,
84597.mol,-131.97971548523074,NAD+.mol,minimize,33.382081508636475,,,,,,,molSizeTiming,,
89213.mol,-234.26701516997406,lessNAD+.mol,minimize,11.763957262039185,,,,,,,molSizeTiming,,
89478.mol,39.2155103775367,leastNAD+.mol,minimize,7.223774671554565,,,,,,,molSizeTiming,,
95416.mol,52.771980678182516,leastNAD+.mol,minimize,5.923623561859131,,,,,,,molSizeTiming,,
480.mol,-228.87954201538213,lessNAD+.mol,minimize,11.258608102798462,,,,,,,molSizeTiming,,
1800.mol,59.72245279454407,leastNAD+.mol,minimize,6.376698493957519,,,,,,,molSizeTiming,,
7307.mol,47.67439883577734,leastNAD+.mol,minimize,5.498169422149658,,,,,,,molSizeTiming,,
14618.mol,43.344399772227604,leastNAD+.mol,minimize,7.296956777572632,,,,,,,molSizeTiming,,
15002.mol,-239.50768601475875,lessNAD+.mol,minimize,14.51519775390625,,,,,,,molSizeTiming,,
19444.mol,59.29295458151333,leastNAD+.mol,minimize,4.812513828277588,,,,,,,molSizeTiming,,
22150.mol,-112.20422950372063,NAD+.mol,minimize,37.53800010681152,,,,,,,molSizeTiming,,
25809.mol,46.55934321916385,leastNAD+.mol,minimize,6.3577399253845215,,,,,,,molSizeTiming,,
26497.mol,-172.16885821612757,lessNAD+.mol,minimize,11.487277269363403,,,,,,,molSizeTiming,,
36321.mol,-237.10213015601607,lessNAD+.mol,minimize,9.809725284576416,,,,,,,molSizeTiming,,
48538.mol,-226.49004825232475,lessNAD+.mol,minimize,12.208841562271118,,,,,,,molSizeTiming,,
58649.mol,-238.27289611327166,lessNAD+.mol,minimize,10.101070880889893,,,,,,,molSizeTiming,,
67986.mol,-92.42878446894304,NAD+.mol,minimize,45.827885150909424,,,,,,,molSizeTiming,,
69553.mol,-227.75270063519955,lessNAD+.mol,minimize,10.889352798461914,,,,,,,molSizeTiming,,
83242.mol,-236.89826913703513,lessNAD+.mol,minimize,13.680247068405151,,,,,,,molSizeTiming,,
94471.mol,-226.87692679146082,lessNAD+.mol,minimize,11.215518951416016,,,,,,,molSizeTiming,,
2719.mol,-22.306554715972567,FADH2.mol,minimize,49.57195281982422,,,,,,,molSizeTiming,,
8036.mol,-246.83597094309874,lessNAD+.mol,minimize,13.552409410476685,,,,,,,molSizeTiming,,
24203.mol,-229.46755917167764,lessNAD+.mol,minimize,16.154452800750732,,,,,,,molSizeTiming,,
31833.mol,-7.259230013759407,NAD+.mol,minimize,63.82899618148804,,,,,,,molSizeTiming,,
38950.mol,-240.68070581063364,lessNAD+.mol,minimize,14.736901760101318,,,,,,,molSizeTiming,,
54122.mol,-230.105001301964,lessNAD+.mol,minimize,15.159950017929077,,,,,,,molSizeTiming,,
76504.mol,-237.79943920925925,lessNAD+.mol,minimize,22.370291471481323,,,,,,,molSizeTiming,,
88934.mol,58.015297212832934,FADH2.mol,minimize,86.20645689964294,,,,,,,molSizeTiming,,
95075.mol,-236.78197119985947,lessNAD+.mol,minimize,18.55978512763977,,,,,,,molSizeTiming,,
99443.mol,-93.91499977854417,NAD+.mol,minimize,67.58959007263184,,,,,,,molSizeTiming,,
5540.mol,-241.72940380862593,lessNAD+.mol,minimize,10.454576969146729,,,,,,,molSizeTiming,,
17562.mol,-221.9042922649131,lessNAD+.mol,minimize,12.012812852859497,,,,,,,molSizeTiming,,
31521.mol,-189.68030194863854,lessNAD+.mol,minimize,13.950772047042847,,,,,,,molSizeTiming,,
39028.mol,376.09689848306414,FADH2.mol,minimize,50.08559250831604,,,,,,,molSizeTiming,,
43868.mol,-245.3979095584866,lessNAD+.mol,minimize,12.340105295181274,,,,,,,molSizeTiming,,
55443.mol,-89.19216330612471,NAD+.mol,minimize,55.98982000350952,,,,,,,molSizeTiming,,
17719.mol,0.407694536376737,FADH2.mol,minimize,78.68272995948792,,,,,,,molSizeTiming,,
22263.mol,-122.77807007549195,NAD+.mol,minimize,66.8118109703064,,,,,,,molSizeTiming,,
33675.mol,76.61769305930618,leastNAD+.mol,minimize,20.6868097782135,,,,,,,molSizeTiming,PYM,
69152.mol,57.77991948259587,leastNAD+.mol,minimize,35.45947480201721,,,,,,,molSizeTiming,PYM,
84389.mol,46.690460814919376,leastNAD+.mol,minimize,15.220345735549927,,,,,,,molSizeTiming,PYM,
